,Epoch,Node_ID,Node_Type,Subnet_ID,List_Type,Trust_Value,Malicious_Status,Trust_Score,Top_10_Trust,Request_Number,Accepted_Request_Number
0,0,1,1,1,G,1.0,False,,,,
0,0,2,2,2,G,1.0,False,,,,
0,0,3,3,3,G,1.0,False,,,,
0,0,4,4,4,G,1.0,False,,,,
0,0,5,5,1,G,0.5,False,,,,
0,0,6,6,1,G,0.5,False,,,,
0,0,7,7,1,G,0.5,False,,,,
0,0,8,8,1,G,0.5,False,,,,
0,0,9,9,2,G,0.5,False,,,,
0,0,10,10,2,G,0.5,False,,,,
0,0,11,11,2,G,0.5,False,,,,
0,0,12,12,2,G,0.5,False,,,,
0,0,13,13,3,G,0.5,False,,,,
0,0,14,14,3,G,0.5,False,,,,
0,0,15,15,3,G,0.5,False,,,,
0,0,16,16,3,G,0.5,False,,,,
0,0,17,17,4,G,0.5,False,,,,
0,0,18,18,4,G,0.5,False,,,,
0,0,19,19,4,G,0.5,False,,,,
0,0,20,20,4,G,0.5,False,,,,
0,1,1,F,1,W,1.0,False,1.0,False,2.0,100.0
0,1,2,F,2,W,1.0,False,1.0,False,4.0,100.0
0,1,3,F,3,W,1.0,False,1.0,False,4.0,100.0
0,1,4,F,4,W,1.0,False,1.0,False,5.0,100.0
0,1,5,L,1,G,0.75,False,1.0,True,8.0,70.0
0,1,6,L,1,G,0.75,False,1.0,True,4.0,70.0
0,1,7,L,1,G,0.75,False,1.0,False,5.0,70.0
0,1,8,L,1,G,0.66114,False,0.64456,False,6.0,70.0
0,1,9,L,2,G,0.75,False,1.0,False,3.0,70.0
0,1,10,L,2,G,0.75,False,1.0,False,5.0,70.0
0,1,11,L,2,G,0.75,False,1.0,False,6.0,70.0
0,1,12,L,2,G,0.66045,False,0.6418,False,8.0,70.0
0,1,13,L,3,G,0.75,False,1.0,False,4.0,70.0
0,1,14,L,3,G,0.75,False,1.0,False,9.0,70.0
0,1,15,L,3,G,0.75,False,1.0,False,10.0,70.0
0,1,16,L,3,G,0.66215,False,0.64859,False,8.0,70.0
0,1,17,L,4,G,0.75,False,1.0,False,7.0,70.0
0,1,18,L,4,G,0.75,False,1.0,False,7.0,70.0
0,1,19,L,4,G,0.75,False,1.0,False,5.0,70.0
0,1,20,L,4,G,0.66021,False,0.64084,False,5.0,70.0
0,2,1,F,1,W,1.0,False,1.0,False,7.0,100.0
0,2,2,F,2,W,1.0,False,1.0,False,3.0,100.0
0,2,3,F,3,W,1.0,False,1.0,False,8.0,100.0
0,2,4,F,4,W,1.0,False,1.0,False,8.0,100.0
0,2,5,L,1,W,0.8125,False,1.0,True,4.0,85.0
0,2,6,L,1,W,0.8125,False,1.0,True,6.0,85.0
0,2,7,L,1,W,0.8125,False,1.0,False,5.0,85.0
0,2,8,L,1,G,0.76311,False,0.8913,False,9.0,70.0
0,2,9,L,2,W,0.8125,False,1.0,False,5.0,85.0
0,2,10,L,2,W,0.8125,False,1.0,False,4.0,85.0
0,2,11,L,2,W,0.8125,False,1.0,False,3.0,85.0
0,2,12,L,2,G,0.76448,False,0.89748,False,1.0,70.0
0,2,13,L,3,W,0.8125,False,1.0,False,8.0,85.0
0,2,14,L,3,W,0.8125,False,1.0,False,1.0,85.0
0,2,15,L,3,W,0.8125,False,1.0,False,4.0,85.0
0,2,16,L,3,G,0.76071,False,0.8807,False,5.0,70.0
0,2,17,L,4,W,0.8125,False,1.0,False,10.0,85.0
0,2,18,L,4,W,0.8125,False,1.0,False,2.0,85.0
0,2,19,L,4,W,0.8125,False,1.0,False,7.0,85.0
0,2,20,L,4,G,0.76417,False,0.89646,False,8.0,70.0
0,3,1,F,1,W,1.0,False,1.0,False,3.0,100.0
0,3,2,F,2,W,1.0,False,1.0,False,9.0,100.0
0,3,3,F,3,W,1.0,False,1.0,False,8.0,100.0
0,3,4,F,4,W,1.0,False,1.0,False,8.0,100.0
0,3,5,L,1,W,0.89062,False,1.0,True,9.0,85.0
0,3,6,L,1,W,0.89062,False,1.0,True,3.0,85.0
0,3,7,L,1,W,0.89062,False,1.0,False,8.0,85.0
0,3,8,L,1,W,0.84942,False,0.97342,False,0.0,85.0
0,3,9,L,2,W,0.89062,False,1.0,False,8.0,85.0
0,3,10,L,2,W,0.89062,False,1.0,False,8.0,85.0
0,3,11,L,2,W,0.89062,False,1.0,False,1.0,85.0
